doi,pt2,sample_id,response_length,metric,judge,score,label_count,model,directory
10.1007/s11060-026-05452-3,_other,10.1007/s11060-026-05452-3,292,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,1.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11060-026-05452-3,_other,10.1007/s11060-026-05452-3,292,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11060-026-05452-3,_other,10.1007/s11060-026-05452-3,292,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11060-026-05452-3,_other,10.1007/s11060-026-05452-3,292,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11657-026-01660-6,_other,10.1007/s11657-026-01660-6,370,grounding,anthropic/claude-opus-4-6@default,0.5,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11657-026-01660-6,_other,10.1007/s11657-026-01660-6,370,grounding,google/gemini-3.1-pro-preview,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11657-026-01660-6,_other,10.1007/s11657-026-01660-6,370,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11657-026-01660-6,_other,10.1007/s11657-026-01660-6,370,quality,anthropic/claude-opus-4-6@default,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11657-026-01660-6,_other,10.1007/s11657-026-01660-6,370,quality,google/gemini-3.1-pro-preview,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11657-026-01660-6,_other,10.1007/s11657-026-01660-6,370,quality,openai/gpt-5.4-nano-2026-03-17,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11701-025-03136-0,_other,10.1007/s11701-025-03136-0,467,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11701-025-03136-0,_other,10.1007/s11701-025-03136-0,467,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11701-025-03136-0,_other,10.1007/s11701-025-03136-0,467,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11701-025-03136-0,_other,10.1007/s11701-025-03136-0,467,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11701-025-03136-0,_other,10.1007/s11701-025-03136-0,467,quality,google/gemini-3.1-pro-preview,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11701-025-03136-0,_other,10.1007/s11701-025-03136-0,467,quality,openai/gpt-5.4-nano-2026-03-17,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s12029-026-01425-x,_other,10.1007/s12029-026-01425-x,463,grounding,anthropic/claude-opus-4-6@default,0.6666666666666666,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s12029-026-01425-x,_other,10.1007/s12029-026-01425-x,463,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s12029-026-01425-x,_other,10.1007/s12029-026-01425-x,463,grounding,openai/gpt-5.4-nano-2026-03-17,0.6666666666666666,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s12029-026-01425-x,_other,10.1007/s12029-026-01425-x,463,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s12029-026-01425-x,_other,10.1007/s12029-026-01425-x,463,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s12029-026-01425-x,_other,10.1007/s12029-026-01425-x,463,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ajem.2026.01.019,_other,10.1016/j.ajem.2026.01.019,433,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ajem.2026.01.019,_other,10.1016/j.ajem.2026.01.019,433,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ajem.2026.01.019,_other,10.1016/j.ajem.2026.01.019,433,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ajem.2026.01.019,_other,10.1016/j.ajem.2026.01.019,433,quality,anthropic/claude-opus-4-6@default,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ajem.2026.01.019,_other,10.1016/j.ajem.2026.01.019,433,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ajem.2026.01.019,_other,10.1016/j.ajem.2026.01.019,433,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.amjcard.2026.02.017,_other,10.1016/j.amjcard.2026.02.017,579,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.amjcard.2026.02.017,_other,10.1016/j.amjcard.2026.02.017,579,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.amjcard.2026.02.017,_other,10.1016/j.amjcard.2026.02.017,579,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,1.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.amjcard.2026.02.017,_other,10.1016/j.amjcard.2026.02.017,579,quality,anthropic/claude-opus-4-6@default,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.amjcard.2026.02.017,_other,10.1016/j.amjcard.2026.02.017,579,quality,google/gemini-3.1-pro-preview,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.amjcard.2026.02.017,_other,10.1016/j.amjcard.2026.02.017,579,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103452,_other,10.1016/j.aprim.2026.103452,389,grounding,anthropic/claude-opus-4-6@default,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103452,_other,10.1016/j.aprim.2026.103452,389,grounding,google/gemini-3.1-pro-preview,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103452,_other,10.1016/j.aprim.2026.103452,389,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103452,_other,10.1016/j.aprim.2026.103452,389,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103452,_other,10.1016/j.aprim.2026.103452,389,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103452,_other,10.1016/j.aprim.2026.103452,389,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103473,_other,10.1016/j.aprim.2026.103473,570,grounding,anthropic/claude-opus-4-6@default,1.0,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103473,_other,10.1016/j.aprim.2026.103473,570,grounding,google/gemini-3.1-pro-preview,1.0,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103473,_other,10.1016/j.aprim.2026.103473,570,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103473,_other,10.1016/j.aprim.2026.103473,570,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103473,_other,10.1016/j.aprim.2026.103473,570,quality,google/gemini-3.1-pro-preview,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.aprim.2026.103473,_other,10.1016/j.aprim.2026.103473,570,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.diagmicrobio.2026.117323,_other,10.1016/j.diagmicrobio.2026.117323,376,grounding,anthropic/claude-opus-4-6@default,0.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.diagmicrobio.2026.117323,_other,10.1016/j.diagmicrobio.2026.117323,376,grounding,google/gemini-3.1-pro-preview,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.diagmicrobio.2026.117323,_other,10.1016/j.diagmicrobio.2026.117323,376,grounding,openai/gpt-5.4-nano-2026-03-17,0.5,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.diagmicrobio.2026.117323,_other,10.1016/j.diagmicrobio.2026.117323,376,quality,anthropic/claude-opus-4-6@default,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.diagmicrobio.2026.117323,_other,10.1016/j.diagmicrobio.2026.117323,376,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.diagmicrobio.2026.117323,_other,10.1016/j.diagmicrobio.2026.117323,376,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ejca.2026.116588,_other,10.1016/j.ejca.2026.116588,366,grounding,anthropic/claude-opus-4-6@default,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ejca.2026.116588,_other,10.1016/j.ejca.2026.116588,366,grounding,google/gemini-3.1-pro-preview,0.5,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ejca.2026.116588,_other,10.1016/j.ejca.2026.116588,366,grounding,openai/gpt-5.4-nano-2026-03-17,0.5,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ejca.2026.116588,_other,10.1016/j.ejca.2026.116588,366,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ejca.2026.116588,_other,10.1016/j.ejca.2026.116588,366,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ejca.2026.116588,_other,10.1016/j.ejca.2026.116588,366,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.iccn.2026.104380,_other,10.1016/j.iccn.2026.104380,514,grounding,anthropic/claude-opus-4-6@default,0.6666666666666666,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.iccn.2026.104380,_other,10.1016/j.iccn.2026.104380,514,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.iccn.2026.104380,_other,10.1016/j.iccn.2026.104380,514,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.iccn.2026.104380,_other,10.1016/j.iccn.2026.104380,514,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.iccn.2026.104380,_other,10.1016/j.iccn.2026.104380,514,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.iccn.2026.104380,_other,10.1016/j.iccn.2026.104380,514,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109416,_other,10.1016/j.identj.2026.109416,579,grounding,anthropic/claude-opus-4-6@default,1.0,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109416,_other,10.1016/j.identj.2026.109416,579,grounding,google/gemini-3.1-pro-preview,0.75,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109416,_other,10.1016/j.identj.2026.109416,579,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109416,_other,10.1016/j.identj.2026.109416,579,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109416,_other,10.1016/j.identj.2026.109416,579,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109416,_other,10.1016/j.identj.2026.109416,579,quality,openai/gpt-5.4-nano-2026-03-17,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109419,_other,10.1016/j.identj.2026.109419,530,grounding,anthropic/claude-opus-4-6@default,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109419,_other,10.1016/j.identj.2026.109419,530,grounding,google/gemini-3.1-pro-preview,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109419,_other,10.1016/j.identj.2026.109419,530,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109419,_other,10.1016/j.identj.2026.109419,530,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109419,_other,10.1016/j.identj.2026.109419,530,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.identj.2026.109419,_other,10.1016/j.identj.2026.109419,530,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijcard.2026.134212,_other,10.1016/j.ijcard.2026.134212,430,grounding,anthropic/claude-opus-4-6@default,1.0,1.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijcard.2026.134212,_other,10.1016/j.ijcard.2026.134212,430,grounding,google/gemini-3.1-pro-preview,1.0,1.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijcard.2026.134212,_other,10.1016/j.ijcard.2026.134212,430,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,1.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijcard.2026.134212,_other,10.1016/j.ijcard.2026.134212,430,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijcard.2026.134212,_other,10.1016/j.ijcard.2026.134212,430,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijcard.2026.134212,_other,10.1016/j.ijcard.2026.134212,430,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijid.2026.108457,_other,10.1016/j.ijid.2026.108457,473,grounding,google/gemini-3.1-pro-preview,1.0,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijid.2026.108457,_other,10.1016/j.ijid.2026.108457,473,grounding,openai/gpt-5.4-nano-2026-03-17,0.75,4.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijid.2026.108457,_other,10.1016/j.ijid.2026.108457,473,quality,google/gemini-3.1-pro-preview,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijid.2026.108457,_other,10.1016/j.ijid.2026.108457,473,quality,openai/gpt-5.4-nano-2026-03-17,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijmedinf.2026.106356,_other,10.1016/j.ijmedinf.2026.106356,339,grounding,anthropic/claude-opus-4-6@default,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijmedinf.2026.106356,_other,10.1016/j.ijmedinf.2026.106356,339,grounding,google/gemini-3.1-pro-preview,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijmedinf.2026.106356,_other,10.1016/j.ijmedinf.2026.106356,339,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijmedinf.2026.106356,_other,10.1016/j.ijmedinf.2026.106356,339,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijmedinf.2026.106356,_other,10.1016/j.ijmedinf.2026.106356,339,quality,google/gemini-3.1-pro-preview,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.ijmedinf.2026.106356,_other,10.1016/j.ijmedinf.2026.106356,339,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.jad.2026.121527,_other,10.1016/j.jad.2026.121527,602,grounding,anthropic/claude-opus-4-6@default,0.6666666666666666,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.jad.2026.121527,_other,10.1016/j.jad.2026.121527,602,grounding,google/gemini-3.1-pro-preview,0.6666666666666666,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.jad.2026.121527,_other,10.1016/j.jad.2026.121527,602,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.jad.2026.121527,_other,10.1016/j.jad.2026.121527,602,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.jad.2026.121527,_other,10.1016/j.jad.2026.121527,602,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.jad.2026.121527,_other,10.1016/j.jad.2026.121527,602,quality,openai/gpt-5.4-nano-2026-03-17,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.msard.2026.107016,_other,10.1016/j.msard.2026.107016,545,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.msard.2026.107016,_other,10.1016/j.msard.2026.107016,545,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.msard.2026.107016,_other,10.1016/j.msard.2026.107016,545,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.msard.2026.107016,_other,10.1016/j.msard.2026.107016,545,quality,anthropic/claude-opus-4-6@default,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.msard.2026.107016,_other,10.1016/j.msard.2026.107016,545,quality,google/gemini-3.1-pro-preview,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.msard.2026.107016,_other,10.1016/j.msard.2026.107016,545,quality,openai/gpt-5.4-nano-2026-03-17,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.psyneuen.2026.107794,_other,10.1016/j.psyneuen.2026.107794,477,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.psyneuen.2026.107794,_other,10.1016/j.psyneuen.2026.107794,477,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.psyneuen.2026.107794,_other,10.1016/j.psyneuen.2026.107794,477,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.psyneuen.2026.107794,_other,10.1016/j.psyneuen.2026.107794,477,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.psyneuen.2026.107794,_other,10.1016/j.psyneuen.2026.107794,477,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.psyneuen.2026.107794,_other,10.1016/j.psyneuen.2026.107794,477,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.rh.2026.100964,_other,10.1016/j.rh.2026.100964,493,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.rh.2026.100964,_other,10.1016/j.rh.2026.100964,493,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.rh.2026.100964,_other,10.1016/j.rh.2026.100964,493,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.rh.2026.100964,_other,10.1016/j.rh.2026.100964,493,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.rh.2026.100964,_other,10.1016/j.rh.2026.100964,493,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.rh.2026.100964,_other,10.1016/j.rh.2026.100964,493,quality,openai/gpt-5.4-nano-2026-03-17,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1016/j.rmed.2026.108673,_other,10.1016/j.rmed.2026.108673,462,grounding,anthropic/claude-opus-4-6@default,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
