pmid,doi,conclusion,result,abstract,mesh
41627367,10.1007/s12325-025-03486-z,"Successful fixed-duration regimens in CLL should achieve deep remission (i.e., undetectable minimal residual disease), sustain long-term progression-free survival, decrease the burden of treatment-related adverse events, and allow for re-treatment with minimal risk of drug resistance. Although fixed-duration treatment represents a positive step forward for most patients with CLL/SLL, the currently approved regimens often fall short in patients at high risk of progression. Continued research and development of next-generation drugs is essential to enhance efficacy and safety, ultimately improving outcomes in all patients with CLL/SLL.","The registrational fixed-duration studies CLL14 (venetoclax plus obinutuzumab), GLOW (ibrutinib plus venetoclax), CAPTIVATE (ibrutinib plus venetoclax), AMPLIFY (acalabrutinib plus venetoclax with or without obinutuzumab), and MURANO (venetoclax plus rituximab) along with the investigator-initiated CLL17 study, which may impact treatment guidelines, demonstrated extended treatment-free intervals. Generally, targeted fixed-duration regimens in patients with unmutated immunoglobulin heavy chain variable region or TP53 and/or del(17p) demonstrated greater efficacy than CIT, but outcomes were typically poorer than in patients without these high-risk features. Cardiovascular toxicity and death remain a significant concern with ibrutinib plus venetoclax, which was also associated with high rates of diarrhea and atrial fibrillation.","INTRODUCTION: Treatment for patients with chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL) has shifted from chemoimmunotherapy (CIT) to targeted therapies, administered as continuous treatment until progression or in fixed-duration regimens. Fixed-duration regimens with targeted therapies (usually in combination regimens with venetoclax and a Bruton tyrosine kinase inhibitor [BTKi] and/or an anti-CD20 monoclonal antibody) are of increasing interest, and recent phase 3 trial results support this approach. Fixed-duration treatment offers a pre-defined treatment stopping point and may provide patients with a treatment-free interval, potentially reducing the burden of long-term therapy while minimizing cumulative toxicity and costs. METHODS: Here, we review the currently approved fixed-duration regimens and some investigational combinations in ongoing registrational clinical trials. RESULTS: The registrational fixed-duration studies CLL14 (venetoclax plus obinutuzumab), GLOW (ibrutinib plus venetoclax), CAPTIVATE (ibrutinib plus venetoclax), AMPLIFY (acalabrutinib plus venetoclax with or without obinutuzumab), and MURANO (venetoclax plus rituximab) along with the investigator-initiated CLL17 study, which may impact treatment guidelines, demonstrated extended treatment-free intervals. Generally, targeted fixed-duration regimens in patients with unmutated immunoglobulin heavy chain variable region or TP53 and/or del(17p) demonstrated greater efficacy than CIT, but outcomes were typically poorer than in patients without these high-risk features. Cardiovascular toxicity and death remain a significant concern with ibrutinib plus venetoclax, which was also associated with high rates of diarrhea and atrial fibrillation. CONCLUSION: Successful fixed-duration regimens in CLL should achieve deep remission (i.e., undetectable minimal residual disease), sustain long-term progression-free survival, decrease the burden of treatment-related adverse events, and allow for re-treatment with minimal risk of drug resistance. Although fixed-duration treatment represents a positive step forward for most patients with CLL/SLL, the currently approved regimens often fall short in patients at high risk of progression. Continued research and development of next-generation drugs is essential to enhance efficacy and safety, ultimately improving outcomes in all patients with CLL/SLL.","Humans; *Leukemia, Lymphocytic, Chronic, B-Cell/drug therapy; *Antineoplastic Combined Chemotherapy Protocols/administration & dosage/therapeutic use/adverse effects; Bridged Bicyclo Compounds, Heterocyclic/administration & dosage; Sulfonamides/administration & dosage; Piperidines; Antibodies, Monoclonal, Humanized/administration & dosage"
41627359,10.1037/tra0002120,"Further studies should investigate whether targeting improved access to positive AMs and improved abilities to construct coherent narratives of those events could mechanistically reduce PTSD symptoms among participants receiving PPMT. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Paired samples t tests indicated a decrease in PTSD symptom severity pre- to post-PPMT (p < .001, g = -0.91). Linear regression models indicated that improvements in participants' ease of accessing positive AMs (beta = -0.29, p = .015) and in the coherence of the positive AM narratives (beta = -0.29, p = .013) from PPMT Sessions 1 to 4 were associated with decreases in PTSD severity pre- to post-PPMT.","OBJECTIVE: The processing of positive memories technique (PPMT) capitalizes on the content of positive autobiographical memories (AMs) to reduce posttraumatic stress disorder (PTSD) symptoms. To advance research on how and why PPMT is effective, this study examined whether and how changes in self-reported positive AM characteristics (vividness, coherence, accessibility, sensory details, visual perspective, emotional intensity, sharing, valence, psychological distance) associated with changes in PTSD symptom severity across PPMT sessions. METHOD: Seventy individuals were recruited from the community (M(age) = 30.44 +/- 12.78; 71.4% of participants identified as White, 72.9% identified as female) and received four sessions of PPMT. They completed surveys at baseline (pre-PPMT), at each PPMT session (Sessions 1-4), and 1 week after attending all PPMT sessions (post-PPMT). RESULTS: Paired samples t tests indicated a decrease in PTSD symptom severity pre- to post-PPMT (p < .001, g = -0.91). Linear regression models indicated that improvements in participants' ease of accessing positive AMs (beta = -0.29, p = .015) and in the coherence of the positive AM narratives (beta = -0.29, p = .013) from PPMT Sessions 1 to 4 were associated with decreases in PTSD severity pre- to post-PPMT. CONCLUSIONS: Further studies should investigate whether targeting improved access to positive AMs and improved abilities to construct coherent narratives of those events could mechanistically reduce PTSD symptoms among participants receiving PPMT. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627358,10.1037/tra0002127,"Findings help to broaden theories related to forced migration, specifically theories that emphasize the cocreation of meaning attached to person-in-environment interactions and the resulting potential for positive development even under conditions of temporariness. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Results show that forcibly displaced immigrant youth navigate the spaces, places, and their relationships with people to support positive developmental trajectories after exposure to potentially traumatizing events. Young people discussed multiple systems that became crucial during their transition to life in Canada, among them communication with peers, family, dependency on the diaspora, mentorship, and the quality of housing.","OBJECTIVE: This research identifies the promotive and protective factors at different systemic levels that facilitate psychological and social well-being when young people are living as migrants with an indeterminant status. METHOD: Informed by a social-ecological understanding of multisystemic resilience, 50 Ukrainian migrants to Canada aged 12-19 were interviewed twice over a 12-month period to investigate their experience of resettlement under a temporary visa program. All participants were forced migrants, residing in Canada for up to 3 years in two regions of the country (Nova Scotia and Alberta) with different size diaspora. Interview questions focused on a range of psychological, social, institutional, and environmental contextual factors associated with well-being. For the analysis, constructivist grounded theory was used to identify factors that could explain young people's developmental outcomes in a specific context of temporariness. RESULTS: Results show that forcibly displaced immigrant youth navigate the spaces, places, and their relationships with people to support positive developmental trajectories after exposure to potentially traumatizing events. Young people discussed multiple systems that became crucial during their transition to life in Canada, among them communication with peers, family, dependency on the diaspora, mentorship, and the quality of housing. CONCLUSIONS: Findings help to broaden theories related to forced migration, specifically theories that emphasize the cocreation of meaning attached to person-in-environment interactions and the resulting potential for positive development even under conditions of temporariness. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627357,10.1037/tra0002081,"The Trauma and Adverse Childhood Experiences Survey more thoroughly assesses traumatic experiences endorsed by today's youth, including potentially traumatic experiences related to identity-based discrimination, while the CAPC-5 goes beyond extant measures to assess for complex PTSD. The strong psychometric properties of both measures support their utility in assessing PTSD symptoms among children and adolescents. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","On average, youth endorsed 8.58 (3.35) traumatic experiences and 75% met Diagnostic and Statistical Manual of Mental Disorders, fifth edition, PTSD criteria, 82% met ICD-11 PTSD criteria, and 69% met ICD-11 complex PTSD criteria. Providing evidence for convergent validity, meeting criteria for any of the three self-reported PTSD conceptualizations was positively correlated with number of traumatic experiences (all ps < .05) and depressive symptoms (all ps < .05). Measure psychometrics were further supported by caregiver-reported assessments and internal reliabilities.","OBJECTIVE: The Child and Adolescent Posttraumatic Stress Disorder (PTSD) Checklist (CAPC) for Diagnostic and Statistical Manual of Mental Disorders-fourth edition-Text Revision (Amaya-Jackson et al., 1995) has been validated and internationally used for assessing symptoms of PTSD. In response to community clinicians' requests for an equitably accessible measure, collaborative research methods were used to develop the Trauma and Adverse Childhood Experiences Survey. The CAPC was also revised to reflect changes in the Diagnostic and Statistical Manual of Mental Disorders, fifth edition, add a caregiver-report version, and incorporate items to assess International Classification of Diseases and Related Health Problems, 11th revision (ICD-11) PTSD, ICD-11 complex PTSD, and functional impairment (CAPC-5; Pane Seifert et al., 2022). The present study examined psychometric properties of the Trauma and Adverse Childhood Experiences Survey and CAPC-5 to validate their assessment of PTSD symptoms among youth. METHOD: Analyses were conducted using data from a sample of 374 racially and economically diverse, trauma-exposed, treatment-seeking youth (7-19 years) and their caregivers. RESULTS: On average, youth endorsed 8.58 (3.35) traumatic experiences and 75% met Diagnostic and Statistical Manual of Mental Disorders, fifth edition, PTSD criteria, 82% met ICD-11 PTSD criteria, and 69% met ICD-11 complex PTSD criteria. Providing evidence for convergent validity, meeting criteria for any of the three self-reported PTSD conceptualizations was positively correlated with number of traumatic experiences (all ps < .05) and depressive symptoms (all ps < .05). Measure psychometrics were further supported by caregiver-reported assessments and internal reliabilities. CONCLUSIONS: The Trauma and Adverse Childhood Experiences Survey more thoroughly assesses traumatic experiences endorsed by today's youth, including potentially traumatic experiences related to identity-based discrimination, while the CAPC-5 goes beyond extant measures to assess for complex PTSD. The strong psychometric properties of both measures support their utility in assessing PTSD symptoms among children and adolescents. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627356,10.1037/tra0002107,"Poly-strengths appear to significantly shape mental health outcomes following sexual violence. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Substance use and negative social reactions undermined resilience after sexual violence, while older age, financial security, physical exercise, better anger management, social support, and posttraumatic growth facilitated resilient outcomes. Poly-strengths were more strongly associated with positive aspects of mental health, while poly-victimization related more strongly to adverse mental health outcomes. Both poly-victimization and poly-strengths had unique relationships with all mental health outcomes. Furthermore, poly-strengths moderated the relationship between poly-victimization and all mental health outcomes, showing that higher levels of poly-strengths reduced the adverse effects of poly-victimization.","OBJECTIVE: Sexual violence is associated with a greater risk of several mental health disorders and an increased risk of revictimization. Poly-victimization heightens the risk of adverse mental health outcomes. Nevertheless, some individuals demonstrate resilience following such experiences. Research on malleable psychological strengths is needed to inform interventions, particularly in the Nordic context. Accordingly, we conducted the first study in Iceland to examine factors associated with positive adaptation through the lens of the resilience portfolio model and the cumulative effects of psychological strengths (poly-strengths). Additionally, we explored the moderating effect of poly-strengths on the relationship between poly-victimization and mental health. METHOD: Participants included 563 Icelandic adults (76% women) who had experienced sexual violence, drawn from a nationally representative sample; data were collected through a phone survey assessing psychological strengths and positive (well-being and happiness) and adverse mental health outcomes (distress and posttraumatic stress disorder symptoms). RESULTS: Substance use and negative social reactions undermined resilience after sexual violence, while older age, financial security, physical exercise, better anger management, social support, and posttraumatic growth facilitated resilient outcomes. Poly-strengths were more strongly associated with positive aspects of mental health, while poly-victimization related more strongly to adverse mental health outcomes. Both poly-victimization and poly-strengths had unique relationships with all mental health outcomes. Furthermore, poly-strengths moderated the relationship between poly-victimization and all mental health outcomes, showing that higher levels of poly-strengths reduced the adverse effects of poly-victimization. CONCLUSIONS: Poly-strengths appear to significantly shape mental health outcomes following sexual violence. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627347,10.1097/QAI.0000000000003839,"National analyses detected clusters that local analyses missed, identified additional cluster members, and found certain clusters earlier. National cluster detection plays a vital role in enhancing local detection activities.","Of 149 clusters detected in the national analysis, 91 (61%) clusters would have been detected concurrently by local analysis, 27 (18%) would have delayed detection (median: 59 days), and 31 (21%) would not have been detected locally. In clusters detected by both approaches, an average of 91% of cluster members identified in the national analysis would have also been identified in the local analysis.","INTRODUCTION: CDC and state/local health departments analyze HIV sequences to identify molecular clusters representing rapid transmission. Local analyses can be timelier, but are limited to sequences available in the local surveillance system, and thus may miss all or part of clusters spanning multiple jurisdictions. We assessed the added value of national analyses for clusters missed or only partially detected by local analyses. METHODS: We reviewed national quarterly analyses of HIV sequences (September 2021 - June 2023) that identified priority clusters (defined as >/=5 diagnoses in the past 12 months within a genetic distance of </=0.005 substitutions per site among people with HIV diagnosed during the most recent three years). For each cluster, we simulated whether and when single-jurisdiction analysis would meet priority threshold and calculated the proportion of cluster members that could be identified locally. RESULTS: Of 149 clusters detected in the national analysis, 91 (61%) clusters would have been detected concurrently by local analysis, 27 (18%) would have delayed detection (median: 59 days), and 31 (21%) would not have been detected locally. In clusters detected by both approaches, an average of 91% of cluster members identified in the national analysis would have also been identified in the local analysis. CONCLUSION: National analyses detected clusters that local analyses missed, identified additional cluster members, and found certain clusters earlier. National cluster detection plays a vital role in enhancing local detection activities.",
41627345,10.1037/cdp0000787,"Findings provide causal evidence that observing structural adultification contributes to psychological adultification. When Black or White girls occupy high-responsibility roles, they are perceived as older and inferred to possess more adultlike traits. These results highlight the role of social expectations in shaping racialized perceptions of childhood. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Racialized beliefs about adultlike characteristics aligned with beliefs about high- and low-responsibility roles. Participants believed that Black girls were more likely to hold high-responsibility roles than White girls. In turn, observing individuals in high-responsibility roles led to increased perceptions of adultlike traits.","OBJECTIVES: This research examines a social role mechanism underlying adultifying cognitions about Black girls compared to White girls. We investigate whether psychological adultification (i.e., estimating Black girls to possess more adultlike traits than White girls) is rooted in inferences of structural adultification (i.e., engaging in family roles with high responsibility). METHOD: Two pilot studies (Pilot A and Pilot B) documented that adultlike traits were ascribed more to Black than to White girls. Study 1 (N = 120) examined beliefs about role responsibilities, comparing perceptions of Black and White girls. Study 2 (N = 187) used an experimental design to test whether learning about Black or White girls engaging in high- versus low-responsibility roles influences adultifying beliefs. RESULTS: Racialized beliefs about adultlike characteristics aligned with beliefs about high- and low-responsibility roles. Participants believed that Black girls were more likely to hold high-responsibility roles than White girls. In turn, observing individuals in high-responsibility roles led to increased perceptions of adultlike traits. CONCLUSIONS: Findings provide causal evidence that observing structural adultification contributes to psychological adultification. When Black or White girls occupy high-responsibility roles, they are perceived as older and inferred to possess more adultlike traits. These results highlight the role of social expectations in shaping racialized perceptions of childhood. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627344,10.1037/cdp0000784,"These findings highlight the distinct impact of discipline for defiance on Black students' school experiences, underscoring the need for educators to critically examine how disciplinary practices shape engagement and teacher-student relationships. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Accounting for students nested in classrooms, we applied multilevel modeling. Discipline for disruption and disrespect had little association with Black students' feelings about school. However, discipline for defiance was associated with less emotional and less behavioral classroom engagement and more conflict with teachers.","OBJECTIVES: Black youth experience discipline at substantially higher rates than White youth, both within and outside of the classroom, and especially for subjective reasons. These disciplinary experiences may cascade into further challenges for Black youth. We explore how Black students' experiences of classroom discipline for behaviors that teachers perceived as disruptive, disrespectful, or defiant relate to the students' classroom engagement and relationships with their teachers as well as how child gender might moderate the association. METHOD: Fourth- and fifth-grade elementary school teachers (N = 38; 86% female) in four school districts and their 130 Black students (50% female) completed surveys at school. RESULTS: Accounting for students nested in classrooms, we applied multilevel modeling. Discipline for disruption and disrespect had little association with Black students' feelings about school. However, discipline for defiance was associated with less emotional and less behavioral classroom engagement and more conflict with teachers. CONCLUSIONS: These findings highlight the distinct impact of discipline for defiance on Black students' school experiences, underscoring the need for educators to critically examine how disciplinary practices shape engagement and teacher-student relationships. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627340,10.1037/prj0000683,"AND IMPLICATIONS FOR PRACTICE: Study shows fostering recovery-promoting competency requires both individual development and organizational support. Enhancing recovery knowledge and attitudes through targeted education may be particularly effective. However, training must be supported by recovery-oriented organizational context that reinforces these values through culture, structures, and operations. A supportive environment can empower practitioners to implement recovery principles. Findings highlight the need for coordinated multilevel strategies to strengthen recovery-oriented practice across diverse service settings. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Recovery knowledge (beta = 0.304, p < .001), recovery attitudes (beta = 0.379, p < .001), supportive organizational culture (beta = 0.123, p = .042), and recovery-oriented administrative structure (beta = 0.200, p = .002) significantly predicted recovery-promoting competency. Male practitioners reported lower competencies than female (beta = -0.131, p = .019), while those with doctoral degrees reported higher competencies than those with bachelor's degrees (beta = 0.146, p = .034). The final model explained 69.9% of variance.","OBJECTIVE: This study investigates individual and organizational factors influencing recovery-promoting competencies among mental health practitioners working with adults with serious mental illness, focusing on recovery knowledge, attitudes, organizational culture, and structure. METHODS: Using a cross-sectional design, an anonymous online survey was administered to 198 mental health practitioners across diverse U.S. SETTINGS: The survey measured practitioners' recovery-promoting competency, demographic characteristics, organizational culture, recovery-oriented structure, recovery knowledge, and recovery attitudes. Data were analyzed using hierarchical multiple regression guided by social ecological model. RESULTS: Recovery knowledge (beta = 0.304, p < .001), recovery attitudes (beta = 0.379, p < .001), supportive organizational culture (beta = 0.123, p = .042), and recovery-oriented administrative structure (beta = 0.200, p = .002) significantly predicted recovery-promoting competency. Male practitioners reported lower competencies than female (beta = -0.131, p = .019), while those with doctoral degrees reported higher competencies than those with bachelor's degrees (beta = 0.146, p = .034). The final model explained 69.9% of variance. CONCLUSIONS AND IMPLICATIONS FOR PRACTICE: Study shows fostering recovery-promoting competency requires both individual development and organizational support. Enhancing recovery knowledge and attitudes through targeted education may be particularly effective. However, training must be supported by recovery-oriented organizational context that reinforces these values through culture, structures, and operations. A supportive environment can empower practitioners to implement recovery principles. Findings highlight the need for coordinated multilevel strategies to strengthen recovery-oriented practice across diverse service settings. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627337,10.1037/adb0001131,"Taken together, these findings suggest that hybrid approaches can produce robust prevention effects and may help reduce barriers to the widespread adoption and implementation of evidence-based prevention programs. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Analyses revealed significant program effects on current cigarette smoking, alcohol use, drunkenness, and intentions for future use. There were also program effects for communication, media resistance, anxiety management, and refusal skills.","Reports the notice of retraction of ""Preventing tobacco and alcohol use among high school students through a hybrid online and in-class intervention: A randomized controlled trial"" by Christopher Williams, Kenneth W. Griffin, Sandra M. Sousa and Gilbert J. Botvin (Psychology of Addictive Behaviors, 2025[Sep], Vol 39[6], 528-540; see record 2025-86677-001). The published paper reported an incorrect registration number for https://clinicaltrials.gov/. When comparing the correct https://clinicaltrials.gov/ trial registration (NCT03219190) and the published article, there were several discrepancies between the protocol as reported in the published paper and the appropriate https://clinicaltrials.gov/ registry, which deviated from accepted standards for the reporting of RCTs. The outcomes reported in the published article were not specified as primary or secondary outcomes of the trial. The Allocation (randomized) sample size (n = 1804) was markedly less than the registered Anticipated sample size of n = 3000. The age range for the population listed in the https://clinicaltrials.gov/ registration (11-14 years old) was younger than the average age of participants in the published paper (mean age = 15.2). (The following abstract of the original article appeared in record 2025-86677-001.) Objective: School-based health promotion programs can have a positive effect on behavioral and social outcomes among adolescents. Yet, limited classroom time and suboptimal program implementation can reduce the potential impact of these interventions. In the present randomized trial, we tested the effectiveness of a classroom-based substance use prevention program that was adapted for hybrid implementation. METHOD: The hybrid adaptation included eight asynchronous e-learning modules that presented didactic content and eight classroom sessions designed to facilitate discussion and practice of refusal, personal self-management, and general social skills. Nineteen high schools were randomly assigned to intervention or control conditions. Students (N = 1,235) completed confidential online pretest and posttest surveys to assess the effects of the intervention on tobacco and alcohol use and life skills. The sample was 50.7% female and 35.5% non-White with a mean age of 15.2 years. RESULTS: Analyses revealed significant program effects on current cigarette smoking, alcohol use, drunkenness, and intentions for future use. There were also program effects for communication, media resistance, anxiety management, and refusal skills. CONCLUSIONS: Taken together, these findings suggest that hybrid approaches can produce robust prevention effects and may help reduce barriers to the widespread adoption and implementation of evidence-based prevention programs. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627330,10.1037/hea0001577,"This is one of the first studies to examine social stressors in relation to biologic pathways that may underlie the increase in chronic disease risk observed among foreign-born populations. These findings contribute to a more comprehensive understanding of how social experiences may impact immigrant health. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Greater perceived discrimination was significantly associated with higher levels of inflammatory gene expression controlling for age, sex, body mass index, smoking status, and other demographic variables. Neither acculturative stress nor social isolation was associated with inflammatory gene expression profiles.","OBJECTIVE: Immigrants comprise approximately 14% of the U.S. population and experience increasing rates of chronic disease after migration that are not wholly attributable to behavioral acculturation. The present study examined whether social stressors commonly experienced by immigrants (e.g., acculturative stress, discrimination) are associated with proinflammatory gene expression in a sample of Chinese immigrants residing in the United States. METHOD: Participants (n = 216) in an observational study completed assessments of acculturative stress, perceived discrimination, and social isolation. Participant weight and height were measured during an in-person exam, and fasting blood samples were collected and assayed for inflammatory gene expression. RESULTS: Greater perceived discrimination was significantly associated with higher levels of inflammatory gene expression controlling for age, sex, body mass index, smoking status, and other demographic variables. Neither acculturative stress nor social isolation was associated with inflammatory gene expression profiles. CONCLUSIONS: This is one of the first studies to examine social stressors in relation to biologic pathways that may underlie the increase in chronic disease risk observed among foreign-born populations. These findings contribute to a more comprehensive understanding of how social experiences may impact immigrant health. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627329,10.1037/hea0001572,"This study offers valuable insights for designing effective interventions to enhance RBD. Interventions aiming at promoting RBD behavior should reinforce positive outcome expectations and maintenance self-efficacy and mitigate negative experiences. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Structural equation modeling analyses supported a three-stage social-cognitive process model in which, in the first stage, information sources (observational learning and positive and negative experiences) were associated with outcome expectation. In the second stage, outcome expectation and maintenance self-efficacy serially mediated the relationship between information sources and RBD intention/behavior. In the third stage, RBD intention fully mediated the influence of negative experiences, outcome expectation, and maintenance self-efficacy on RBD behavior.","BACKGROUND AND AIMS: It is important to understand how multidimensional factors, such as observational learning, knowledge, and self-reinforcement, operate in influencing repeated blood donation (RBD) behavior, so that effective interventions can be designed to improve RBD. Grounded in social-cognitive theory, health action process approach, and theory of planned behavior, the present study aimed to test a three-stage social-cognitive process model in predicting RBD behavior. METHOD: A total of 850 blood donors (390 females, 460 males; M(age) = 25.29 +/- 7.16) were recruited from blood donation sites in Zhejiang, China, and completed an online survey measuring the factors from social-cognitive theory at baseline, and their RBD behavior was followed up by checking the blood donation record from the database of the Blood Center in Zhejiang Province 6 months later. Structural equation modeling was used to test the three-stage social-cognitive process models. RESULTS: Structural equation modeling analyses supported a three-stage social-cognitive process model in which, in the first stage, information sources (observational learning and positive and negative experiences) were associated with outcome expectation. In the second stage, outcome expectation and maintenance self-efficacy serially mediated the relationship between information sources and RBD intention/behavior. In the third stage, RBD intention fully mediated the influence of negative experiences, outcome expectation, and maintenance self-efficacy on RBD behavior. CONCLUSIONS: This study offers valuable insights for designing effective interventions to enhance RBD. Interventions aiming at promoting RBD behavior should reinforce positive outcome expectations and maintenance self-efficacy and mitigate negative experiences. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627327,10.1037/neu0001069,"The behavioral results provide seminal evidence of objective cognitive difficulties in women with endometriosis, particularly those experiencing CPP, who also exhibited reduced P300 amplitudes. The data implicated pain and affective factors as drivers of these differences. These findings warrant consideration in clinical contexts and future research focused on developing targeted interventions for cognitive rehabilitation in endometriosis. (PsycInfo Database Record (c) 2026 APA, all rights reserved).","Relative to controls, women with endometriosis-associated CPP exhibited significant moderate-to-large difficulties across multiple cognitive domains. In contrast, women with endometriosis without CPP exhibited fairly large significant difficulties only for verbal short-term memory. Pain factors and affective symptomatology emerged as moderators of cognitive performance differences. Regarding electroencephalography, we identified in the parietal planes of women with endometriosis-associated CPP moderately smaller P300 amplitudes, particularly P3b component amplitudes, aligning with previous reports, and pain and affective factors emerged as moderators of group differences.","OBJECTIVE: Despite endometriosis impacting at least 10% of women globally, with most self-reporting chronic pelvic pain (CPP) and cognitive difficulties, research reporting on objective cognitive disruptions remains extremely limited, although recent research has identified brain alterations in women with endometriosis that could cause cognitive difficulties. To address this gap, the current research profiled objective cognitive and neuroelectrophysiological distinctions in women with endometriosis, with consideration of CPP status. METHOD: We measured cognitive performance via a diverse battery and electroencephalography (P300) in three groups of women: endometriosis with CPP (n = 22), endometriosis without CPP (n = 13), and healthy controls (n = 42). Pain ratings and psychological measures were analyzed as potential moderators of group differences. RESULTS: Relative to controls, women with endometriosis-associated CPP exhibited significant moderate-to-large difficulties across multiple cognitive domains. In contrast, women with endometriosis without CPP exhibited fairly large significant difficulties only for verbal short-term memory. Pain factors and affective symptomatology emerged as moderators of cognitive performance differences. Regarding electroencephalography, we identified in the parietal planes of women with endometriosis-associated CPP moderately smaller P300 amplitudes, particularly P3b component amplitudes, aligning with previous reports, and pain and affective factors emerged as moderators of group differences. CONCLUSIONS: The behavioral results provide seminal evidence of objective cognitive difficulties in women with endometriosis, particularly those experiencing CPP, who also exhibited reduced P300 amplitudes. The data implicated pain and affective factors as drivers of these differences. These findings warrant consideration in clinical contexts and future research focused on developing targeted interventions for cognitive rehabilitation in endometriosis. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",
41627315,10.1080/01443615.2026.2623828,"The host multigene DNA methylation assay demonstrates high specificity and good sensitivity for triaging HPV-positive ASC-US women, with the potential to reduce colposcopy referrals while maintaining robust detection of high-grade lesions, particularly in those aged >/=30 years.","Our results showed that methylation levels of PAX1, EPB41L3, and FAM19A4 increased progressively from </= CIN1 to CIN2, CIN3, and cervical cancer, with significant decreases in DeltaCt values from </= CIN1 to CIN3 for all three genes (p < 0.05). For detection of CIN2+, the assay achieved a sensitivity of 85.19%, specificity of 96.43%, positive predictive value (PPV) of 79.31%, negative predictive value (NPV) of 97.59%, and an area under the receiver operating characteristic curve (AUC) of 0.91, thereby avoiding colposcopy referrals in 96.43% (162/168). For CIN3+, the assay demonstrated sensitivity, specificity, PPV, NPV, and AUC values of 94.44%, 93.22%, 58.62%, 99.4%, and 0.94, respectively. Stratified analyses showed high and comparable sensitivity (81.82% vs. 87.50%), specificity (96.92% vs. 96.12%), and AUC (0.89 vs. 0.92) in women with HPV16/18 compared with those with non-16/18 high-risk HPV. Optimal diagnostic accuracy was observed in women aged >/=30 years, with sensitivities ranging from 85.70% to 100%, specificities from 94.44% to 100%, and AUC values ranging from 0.93 to 0.97. In contrast, the performance was suboptimal in women aged <30 years (sensitivity, 33.33%; AUC, 0.64).","BACKGROUND: Triage of human papillomavirus (HPV)-positive women with atypical squamous cells of undetermined significance (ASC-US) remains a longstanding clinical challenge in cervical cancer screening, as conventional strategies often lead to excessive colposcopy referrals. We conducted a diagnostic cohort study of 195 HPV-positive women who underwent ASC-US cytology. METHODS: Multigene DNA methylation analysis was performed on residual cervical exfoliated cells, using histology from colposcopy-directed biopsy and/or endocervical sampling as the reference standard to minimise colposcopy referrals. RESULTS: Our results showed that methylation levels of PAX1, EPB41L3, and FAM19A4 increased progressively from </= CIN1 to CIN2, CIN3, and cervical cancer, with significant decreases in DeltaCt values from </= CIN1 to CIN3 for all three genes (p < 0.05). For detection of CIN2+, the assay achieved a sensitivity of 85.19%, specificity of 96.43%, positive predictive value (PPV) of 79.31%, negative predictive value (NPV) of 97.59%, and an area under the receiver operating characteristic curve (AUC) of 0.91, thereby avoiding colposcopy referrals in 96.43% (162/168). For CIN3+, the assay demonstrated sensitivity, specificity, PPV, NPV, and AUC values of 94.44%, 93.22%, 58.62%, 99.4%, and 0.94, respectively. Stratified analyses showed high and comparable sensitivity (81.82% vs. 87.50%), specificity (96.92% vs. 96.12%), and AUC (0.89 vs. 0.92) in women with HPV16/18 compared with those with non-16/18 high-risk HPV. Optimal diagnostic accuracy was observed in women aged >/=30 years, with sensitivities ranging from 85.70% to 100%, specificities from 94.44% to 100%, and AUC values ranging from 0.93 to 0.97. In contrast, the performance was suboptimal in women aged <30 years (sensitivity, 33.33%; AUC, 0.64). CONCLUSIONS: The host multigene DNA methylation assay demonstrates high specificity and good sensitivity for triaging HPV-positive ASC-US women, with the potential to reduce colposcopy referrals while maintaining robust detection of high-grade lesions, particularly in those aged >/=30 years.",Humans; Female; *Uterine Cervical Neoplasms/diagnosis/virology/genetics/pathology; *DNA Methylation; Adult; Early Detection of Cancer/methods; *Papillomavirus Infections/diagnosis/pathology/virology; *Uterine Cervical Dysplasia/virology/diagnosis/genetics/pathology; Middle Aged; *Atypical Squamous Cells of the Cervix/pathology/virology; Triage/methods; Sensitivity and Specificity; Colposcopy; Predictive Value of Tests; Cohort Studies; Paired Box Transcription Factors/genetics; Papillomaviridae/isolation & purification; ROC Curve; Human Papillomavirus Viruses; Microfilament Proteins; Cytokines
